State,Race,Table Names,Year,Population
AL,American Indian/Alaska Native,PopByRace2016.csv,2016,21400
AL,Asian,PopByRace2016.csv,2016,57600
AL,Black,PopByRace2016.csv,2016,1252500
AL,Hispanic,PopByRace2016.csv,2016,194500
AL,Multiple Races,PopByRace2016.csv,2016,81100
AL,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
AL,Total,PopByRace2016.csv,2016,4730100
AL,White,PopByRace2016.csv,2016,3121800
AK,American Indian/Alaska Native,PopByRace2016.csv,2016,107200
AK,Asian,PopByRace2016.csv,2016,42600
AK,Black,PopByRace2016.csv,2016,20700
AK,Hispanic,PopByRace2016.csv,2016,47800
AK,Multiple Races,PopByRace2016.csv,2016,48600
AK,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,8800
AK,Total,PopByRace2016.csv,2016,714900
AK,White,PopByRace2016.csv,2016,439200
AZ,American Indian/Alaska Native,PopByRace2016.csv,2016,266700
AZ,Asian,PopByRace2016.csv,2016,213600
AZ,Black,PopByRace2016.csv,2016,270000
AZ,Hispanic,PopByRace2016.csv,2016,2087500
AZ,Multiple Races,PopByRace2016.csv,2016,156600
AZ,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,11600
AZ,Total,PopByRace2016.csv,2016,6760900
AZ,White,PopByRace2016.csv,2016,3754900
AR,American Indian/Alaska Native,PopByRace2016.csv,2016,17300
AR,Asian,PopByRace2016.csv,2016,39500
AR,Black,PopByRace2016.csv,2016,441600
AR,Hispanic,PopByRace2016.csv,2016,210000
AR,Multiple Races,PopByRace2016.csv,2016,64500
AR,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,7700
AR,Total,PopByRace2016.csv,2016,2895400
AR,White,PopByRace2016.csv,2016,2114900
CA,American Indian/Alaska Native,PopByRace2016.csv,2016,121600
CA,Asian,PopByRace2016.csv,2016,5448900
CA,Black,PopByRace2016.csv,2016,2066000
CA,Hispanic,PopByRace2016.csv,2016,15009300
CA,Multiple Races,PopByRace2016.csv,2016,1248000
CA,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,129900
CA,Total,PopByRace2016.csv,2016,38442400
CA,White,PopByRace2016.csv,2016,14418700
CO,American Indian/Alaska Native,PopByRace2016.csv,2016,24700
CO,Asian,PopByRace2016.csv,2016,167800
CO,Black,PopByRace2016.csv,2016,207900
